"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
2,5.43061215026309,0.15,0.85,0,0,0,0,0,0
2,5.50350627308541,0.15,0.85,0,0,0,0,0,0
2,5.57640039590774,0.16,0.84,0,0,0,0,0,0
2,5.64929451873006,0.14,0.86,0,0,0,0,0,0
2,5.72218864155238,0.15,0.85,0,0,0,0,0,0
2,5.79508276437471,0.23,0.77,0,0,0,0,0,0
2,5.86797688719703,0.16,0.84,0,0,0,0,0,0
2,5.94087101001935,0.19,0.81,0,0,0,0,0,0
2,6.01376513284168,0.19,0.81,0,0,0,0,0,0
2,6.086659255664,0.18,0.82,0,0,0,0,0,0
2,6.15955337848632,0.16,0.84,0,0,0,0,0,0
2,6.23244750130865,0.26,0.74,0,0,0,0,0,0
2,6.30534162413097,0.25,0.75,0,0,0,0,0,0
2,6.37823574695329,0.25,0.75,0,0,0,0,0,0
2,6.45112986977562,0.14,0.86,0,0,0,0,0,0
2,6.52402399259794,0.21,0.79,0,0,0,0,0,0
2,6.59691811542026,0.16,0.84,0,0,0,0,0,0
2,6.66981223824259,0.21,0.79,0,0,0,0,0,0
2,6.74270636106491,0.2,0.8,0,0,0,0,0,0
2,6.81560048388723,0.23,0.77,0,0,0,0,0,0
2,6.88849460670956,0.29,0.71,0,0,0,0,0,0
2,6.96138872953188,0.17,0.83,0,0,0,0,0,0
2,7.0342828523542,0.2,0.8,0,0,0,0,0,0
2,7.10717697517653,0.11,0.89,0,0,0,0,0,0
2,7.18007109799885,0.21,0.79,0,0,0,0,0,0
2,7.25296522082118,0.26,0.74,0,0,0,0,0,0
2,7.3258593436435,0.19,0.81,0,0,0,0,0,0
2,7.39875346646582,0.14,0.86,0,0,0,0,0,0
2,7.47164758928815,0.26,0.74,0,0,0,0,0,0
2,7.54454171211047,0.19,0.81,0,0,0,0,0,0
2,7.61743583493279,0.21,0.79,0,0,0,0,0,0
2,7.69032995775512,0.13,0.87,0,0,0,0,0,0
2,7.76322408057744,0.15,0.85,0,0,0,0,0,0
2,7.83611820339976,0.16,0.84,0,0,0,0,0,0
2,7.90901232622209,0.19,0.81,0,0,0,0,0,0
2,7.98190644904441,0.18,0.82,0,0,0,0,0,0
2,8.05480057186673,0.13,0.87,0,0,0,0,0,0
2,8.12769469468905,0.15,0.85,0,0,0,0,0,0
2,8.20058881751138,0.14,0.86,0,0,0,0,0,0
2,8.2734829403337,0.09,0.91,0,0,0,0,0,0
2,8.34637706315603,0.16,0.84,0,0,0,0,0,0
2,8.41927118597835,0.2,0.8,0,0,0,0,0,0
